"","Time","Force 1","Force 2","Angle","Velocity","Acceleration","Force1","Force2","Ratio","Torque","Length","Spin","Mass","V_bin"
"17","0.32","11.9807692308","-10.7316985008","-0.314159265359",-0.921145994108,"7.09309154622E-15",11.9807692308,-10.7316985008,-1.11639077727602,1.475164429596,"60cm","off","0g",-0.9
"18","0.34","11.7713675214","-10.5182847243","-0.331612557879",-0.969627362219,"-3.93911115901",11.7713675214,-10.5182847243,-1.11913375896785,1.450156586481,"60cm","off","0g",-1
"19","0.36","11.7115384615","-10.487797042","-0.349065850399",-1.18779351872,"-2.82807980647",11.7115384615,-10.487797042,-1.1166824085744,1.442096857965,"60cm","off","0g",-1.2
"20","0.38","11.8311965812","-10.6402354537","-0.383972435439",-1.18779351872,"3.06375312368",11.8311965812,-10.6402354537,-1.11192995988504,1.455472423569,"60cm","off","0g",-1.2
"21","0.4","12.1901709402","-10.9755999597","-0.401425727959",-0.969627362219,"4.8481368111",12.1901709402,-10.9755999597,-1.11066101032833,1.499257642239,"60cm","off","0g",-1
"22","0.42","12.4594017094","-11.2195014185","-0.418879020479",-0.896905310053,"1.81805130416",12.4594017094,-11.2195014185,-1.11051295816546,1.532325213855,"60cm","off","0g",-0.9
"23","0.44","12.5790598291","-11.2804767832","-0.436332312999",-0.896905310053,"-1.81805130416",12.5790598291,-11.2804767832,-1.11511774465366,1.548444670869,"60cm","off","0g",-0.9
"24","0.46","12.5192307692","-11.2195014185","-0.453785605519",-0.969627362219,"-4.8481368111",12.5192307692,-11.2195014185,-1.11584555340016,1.541299572825,"60cm","off","0g",-1
"25","0.48","12.3995726496","-11.1280383714","-0.471238898038",-1.18779351872,"-3.06375312368",12.3995726496,-11.1280383714,-1.1142640091418,1.526094746298,"60cm","off","0g",-1.2
"26","0.5","12.3397435897","-11.0975506891","-0.506145483078",-1.18779351872,"2.82807980647",12.3397435897,-11.0975506891,-1.11193396952177,1.518035017782,"60cm","off","0g",-1.2
